model	year	mileage	price	type	age
Civic	2006	120451	11900	Si	10
Civic	2012	21136	16000	LX	4
Civic	2012	38422	17300	EX	4
Civic	2015	120	20200	LX	1
Civic	2012	38353	15100	LX	4
Civic	2012	56201	16900	Hybrid	4
Civic	2011	41283	13000	LX	5
Civic	2013	35370	16200	EX	3
Civic	2012	39097	17300	Hybrid	4
Civic	2008	76042	11000	EX	8
Civic	2009	72204	11500	LX	7
Civic	2012	27513	14995	LX	4
Civic	2013	19667	16495	LX	3
Civic	2012	24804	16495	EX	4
Civic	2014	13377	16995	LX	2
Civic	2014	14217	18495	EX	2
Civic	2012	57309	13495	LX	4
Civic	2013	15970	16995	LX	3
Civic	2012	52115	14999	EX	4
Civic	2014	39494	16995	LX	2
Civic	2015	7318	20495	EX	1
Civic	2014	12400	16995	LX	2
